Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,labels
Ano Petralona,37.97046695,23.7129377997044,Κήπος της Τρώων,37.96996263365041,23.71334201304242,Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Το Κρέας,37.97011347567616,23.71247096291412,Steakhouse,0
Ano Petralona,37.97046695,23.7129377997044,Πλειάδες,37.96975081378906,23.713133708191126,Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Σαλός Λαγός,37.96853312696128,23.712574848006817,Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Τσιπουράδικο του Αποστόλη,37.96962,23.713137,Tsipouro Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Χαλυβουργειο,37.969832267326844,23.714036108601515,Greek Restaurant,0
Asteroskopeio,37.9731246,23.7199851,National Observatory of Athens (Εθνικό Αστεροσκοπείο Αθηνών),37.97278800908682,23.71788399810668,Planetarium,0
Asteroskopeio,37.9731246,23.7199851,Pnyx (Πνύκα),37.97171199095163,23.719594584259426,Historic Site,0
Asteroskopeio,37.9731246,23.7199851,divino wine case,37.97442758767211,23.718864379748425,Lounge,0
Asteroskopeio,37.9731246,23.7199851,Καφενείον Ακροπόλεως,37.973562811094666,23.720247310269496,Meze Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Γεύομαι και Μαγεύομαι,37.97491550697727,23.718362258407677,Greek Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Σκάλες,37.974637358964415,23.71925005067923,Meze Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Thissio View (Θέα Θησείο),37.9740619525035,23.71983055603748,Café,0
Asteroskopeio,37.9731246,23.7199851,El Bandoneon,37.97443700800542,23.71881978342929,Nightclub,0
Asteroskopeio,37.9731246,23.7199851,Chocolat Royal,37.97419870372403,23.719968657688177,Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Coyoacan Athens,37.97506739166823,23.719087171306047,South American Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Καφενείο Θησείο,37.974525063757035,23.719168710915113,Café,0
Asteroskopeio,37.9731246,23.7199851,Lontos,37.974628380664505,23.71975065550948,Mediterranean Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Αυλή,37.975107203991925,23.718640640762814,Café,0
Asteroskopeio,37.9731246,23.7199851,Απο κουπα,37.9745785884964,23.719476096503826,Bar,0
Asteroskopeio,37.9731246,23.7199851,Dama Koupa,37.97451639362865,23.719387926147093,Café,0
Asteroskopeio,37.9731246,23.7199851,Γευσεις Περιπατου,37.97286868064487,23.72062444277517,Greek Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Phidias Hotel,37.97503227289647,23.719672800620508,Hotel,0
Asteroskopeio,37.9731246,23.7199851,Αθηναίων Πολιτεία,37.97450987103171,23.719797568523873,Café,0
Asteroskopeio,37.9731246,23.7199851,Ακροπόλ Cafe,37.97455696264302,23.71951287534781,Café,0
Asteroskopeio,37.9731246,23.7199851,Abibayio (Αμπιμπάγιο),37.97508,23.718617,Meze Restaurant,0
Asteroskopeio,37.9731246,23.7199851,Ηλιοστάσιο,37.97467240275714,23.719288997067082,Café,0
Asteroskopeio,37.9731246,23.7199851,Kono Pizza,37.974493848583094,23.71902108192444,Pizza Place,0
Asteroskopeio,37.9731246,23.7199851,Dos Akamas,37.97450585786752,23.719286601066198,Bar,0
Asteroskopeio,37.9731246,23.7199851,space  by avli,37.97508778756146,23.71863248415,Café,0
Ellinoroson,37.9976828,23.7746661,Χοντρό Αλάτι,37.999064235443534,23.774802242741075,Greek Restaurant,0
Ellinoroson,37.9976828,23.7746661,Personal Gym Studio by George Papadimakis,37.99655061192805,23.772737206384658,Gym,0
Ellinoroson,37.9976828,23.7746661,Tennis Ελληνορώσων,37.99973062404594,23.77517936067303,Tennis Court,0
Ellinoroson,37.9976828,23.7746661,barrio 12,37.99887554088263,23.774281260931314,Café,0
Ellinoroson,37.9976828,23.7746661,Ρέθεμνος,37.99849150294061,23.77320418809971,Cretan Restaurant,0
Ellinoroson,37.9976828,23.7746661,The Sushi Bar,37.99828021872743,23.7754409923994,Sushi Restaurant,0
Ellinoroson,37.9976828,23.7746661,Σκατζοχοιρος,37.99674818316228,23.773204188099715,Greek Restaurant,0
Ellinoroson,37.9976828,23.7746661,Siló,37.998912341909026,23.774442877134994,Restaurant,0
Ellinoroson,37.9976828,23.7746661,Δημοτικό Γήπεδο Μπάσκετ,37.997008647428395,23.776565916907714,Basketball Court,0
Exarcheia,37.9866527,23.7348394,Αλεξανδρινό,37.98598109942727,23.735507355864257,Bar,0
Exarcheia,37.9866527,23.7348394,Καραγκιόζης,37.98600059717795,23.73266215976166,Kafenio,0
Exarcheia,37.9866527,23.7348394,Γιάντες,37.98548737209639,23.73598268950343,Greek Restaurant,0
Exarcheia,37.9866527,23.7348394,Kik Project,37.985007,23.733775,Bar,0
Exarcheia,37.9866527,23.7348394,Άμα Λάχει στης Νεφέλης,37.98791855550784,23.73682103210383,Meze Restaurant,0
Exarcheia,37.9866527,23.7348394,Cookoomela Grill,37.98572861508066,23.733590841293335,Vegetarian / Vegan Restaurant,0
Exarcheia,37.9866527,23.7348394,απ' αλλού,37.985930752665915,23.733837067494946,Falafel Restaurant,0
Exarcheia,37.9866527,23.7348394,CrepeXarchia,37.988120314461675,23.734855179371788,Snack Place,0
Exarcheia,37.9866527,23.7348394,Σχοινοβάτης,37.985885765013975,23.733401824881273,Bar,0
Exarcheia,37.9866527,23.7348394,Beatniks Road Bar,37.984780463723055,23.73415734829929,Bar,0
Exarcheia,37.9866527,23.7348394,Μαύρος Γάτος,37.98604468185822,23.732515434311072,Bar,0
Exarcheia,37.9866527,23.7348394,Talking Breads,37.986975,23.734546,Fast Food Restaurant,0
Exarcheia,37.9866527,23.7348394,Ατίταμος,37.9860577134869,23.732394425485168,Greek Restaurant,0
Exarcheia,37.9866527,23.7348394,Μπούκα,37.98671313991022,23.732228983007943,Magirio,0
Exarcheia,37.9866527,23.7348394,Ίντριγκα,37.98688034683431,23.735938824320577,Café,0
"Ilisia, Athens",37.975425,23.7545296,Καντίνα Μιχαλακοπούλου,37.97641804311893,23.75384353113006,Food Truck,0
